home,away,home_seed,away_seed,home_W,away_W,home_net,away_net,home_off,away_off,home_def,away_def,home_pace,away_pace,home_exp,away_exp,rest_diff,target,games
BOS,MIA,1,8,64,46,11.4,-1.2,119.8,111.8,108.4,113.0,98.8,97.6,9,8,0,1,5
CLE,ORL,2,7,48,47,5.2,3.1,114.3,110.2,109.1,107.1,96.4,94.8,4,2,0,1,7
NYK,PHI,2,7,50,47,4.8,2.6,114.9,114.4,110.1,111.8,95.8,98.2,3,6,0,1,6
MIL,IND,3,6,49,47,3.6,1.4,115.3,118.6,111.7,117.2,100.0,103.2,6,3,0,0,6
OKC,NOP,1,8,57,49,9.9,2.9,116.7,114.3,106.8,111.4,99.2,100.6,2,4,0,1,4
DEN,LAL,2,7,57,47,7.8,1.9,117.1,115.0,109.3,113.1,97.9,98.8,6,7,0,1,5
MIN,PHO,3,6,56,49,6.4,2.5,114.1,115.8,107.7,113.3,96.8,100.4,3,5,0,1,4
GSW,SAC,10,7,46,46,2.8,3.4,116.8,116.4,114.0,113.0,100.1,101.2,9,3,0,0,7
MIL,MIA,1,8,58,44,8.2,0.4,116.9,111.9,108.7,111.5,100.1,97.3,5,7,0,0,5
BOS,ATL,2,7,57,41,9.1,-0.2,117.9,116.8,108.8,117.0,98.4,101.8,7,3,0,1,6
PHI,BRK,3,6,54,45,5.7,0.6,115.5,113.4,109.8,112.8,98.2,99.4,5,5,0,1,4
DEN,MIN,1,8,53,42,6.6,-0.3,116.7,111.8,110.1,112.1,97.9,96.2,5,2,0,1,5
SAC,GSW,3,6,48,44,3.7,2.2,116.4,116.8,112.7,114.6,101.8,99.9,2,9,0,0,7
PHO,LAC,4,5,45,44,2.6,1.8,116.2,115.3,113.6,113.5,100.2,97.4,4,6,0,0,5
LAL,MEM,7,2,43,51,1.0,4.9,115.0,114.4,114.0,109.5,98.8,101.6,7,3,0,0,6
MIA,ATL,1,8,53,43,4.7,0.2,112.8,115.5,108.1,115.3,97.2,101.8,7,3,0,1,5
PHI,TOR,4,5,51,48,4.0,2.6,114.7,112.4,110.7,109.8,99.6,98.0,5,4,0,1,6
BOS,BRK,2,7,51,44,6.7,1.4,115.3,113.6,108.6,112.2,97.9,99.7,6,5,0,1,4
MIL,CHI,3,6,51,46,6.0,0.4,115.7,112.8,109.7,112.4,100.4,98.2,5,3,0,1,5
GSW,DEN,3,6,53,48,6.8,3.9,117.1,115.4,110.3,111.5,100.0,97.6,9,4,0,1,5
PHO,NOP,1,8,64,36,10.9,-3.4,115.3,111.1,104.4,114.5,100.1,100.4,4,3,0,1,6
MEM,MIN,2,7,56,46,5.8,0.8,115.0,112.4,109.2,111.6,101.6,96.6,2,2,0,1,6
DAL,UTA,4,5,52,49,4.0,2.4,113.7,111.8,109.7,109.4,98.9,98.0,5,3,0,1,6
LAC,MIN,4,5,42,46,0.8,0.4,112.3,110.9,111.5,110.5,97.2,95.9,6,1,0,0,6
PHI,WAS,1,8,49,34,7.6,-1.6,114.4,113.6,106.8,115.2,99.3,100.4,4,3,0,1,5
BRK,BOS,2,7,48,36,5.5,1.0,116.0,113.1,110.5,112.1,99.0,97.4,4,5,0,1,5
MIL,MIA,3,6,46,40,4.5,2.2,116.6,111.6,112.1,109.4,100.2,97.1,4,6,0,1,4
UTA,MEM,1,8,52,38,8.5,0.6,116.3,112.6,107.8,112.0,98.2,101.0,3,1,0,1,5
